договор	ТУ	район	наименование	Сеть
1023	210230005	МЭС - район реализации 1	Др.аб.3304 М-н "Форвард" (кабель Б)	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 303 > РУ-0,4 кВ > ф. "Колымское ш 9 п.2" > Колымское шоссе 9 
1023	210230009	МЭС - район реализации 1	Др.аб.3304 э/э при СОИД 1 р-н ш.Колымское 9	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 303 > РУ-0,4 кВ > ф. "Колымское ш 9 п.2" > Колымское шоссе 9 
1024	210240001	МЭС - район реализации 1	Гаражный бокс N 1	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 314 > РУ-0,4 кВ
1026	210260001	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "пер. Школьный 10" > Школьный пер. 10
1026	210260002	МЭС - район реализации 1	э/э при СОИД 1р-н пер.Школьный 10	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "пер. Школьный 10" > Школьный пер. 10
1029	210290005	МЭС - район реализации 1	Производственная лаборатория 	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 14 > РУ-0,4 кВ
1029	210290006	МЭС - район реализации 1	Перерасчет по тарифам	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 14 > РУ-0,4 кВ
1029	210290007	МЭС - район реализации 1	Перерасчет по тарифам	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 14 > РУ-0,4 кВ
1029	210290008	МЭС - район реализации 1	Магазин	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "Дзержинского 21" > Дзержинского 21
1029	210290009	МЭС - район реализации 1	э/э при СОИД 1 р-н Дзержинского 21	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "Дзержинского 21" > Дзержинского 21
1029	210290012	МЭС - район реализации 1	Производственная лаборатория 	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-200 ввод Б" > ТП - 200 > РУ-0,4 кВ
103	201030001	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-194 ввод Б" > ТП - 42 > РУ-0,4 кВ > ф. "Облсофпроф каб. А"
103	201030002	МЭС - район реализации 1	Гаражи	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-194 ввод Б" > ТП - 42 > РУ-0,4 кВ > ф. "Облсофпроф каб. А"
1030	210300001	МЭС - район реализации 1	Др.аб.3286 Свадебный салон "Торжество"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "пер. Школьный 10" > Школьный пер. 10
1030	210300002	МЭС - район реализации 1	Др.аб.3286 э/э при СОИД 1 р-н Школьный 10	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "пер. Школьный 10" > Школьный пер. 10
1032	210320001	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 19 > РУ-0,4 кВ
1034	210340002	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 109 > РУ-0,4 кВ > ф. "К. Маркса 36/20 п. 5" > К. Маркса 36/20
1034	210340003	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 109 > РУ-0,4 кВ > ф. "К. Маркса 36/20 п. 5" > К. Маркса 36/20
1034	210340005	МЭС - район реализации 1	э/э при СОИД 1р-н К.Маркса 36/20 Евросе	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 109 > РУ-0,4 кВ > ф. "К. Маркса 36/20 п. 5" > К. Маркса 36/20
1034	210340026	МЭС - район реализации 1	э/э при СОИД 1р-н К.Маркса 36/20Сотов.м	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 109 > РУ-0,4 кВ > ф. "К. Маркса 36/20 п. 5" > К. Маркса 36/20
1039	210390002	МЭС - район реализации 1	э/э на СОИД 1р-н Советская 23 корп.1	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 14 > РУ-0,4 кВ > ф. "Советская 23/1" > Советская 23/1
1039	210390003	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 14 > РУ-0,4 кВ > ф. "Советская 23/1" > Советская 23/1
1040	210400001	МЭС - район реализации 1	Часть авторемонтных мастерских	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-310" > ТП - 146 > РУ-0,4 кВ > ВЛ-0,4 кВ "Гараж Пляскин"
1042	210420001	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 19 > РУ-0,4 кВ > ВЛ-0,4 кВ "Поселок"
1050	210500001	МЭС - район реализации 1	Парикмахерская	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Скуридина 6А" > Гагарина 5Б
1050	210500002	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Гагарина 5-б	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Скуридина 6А" > Гагарина 5Б
1052	210520001	МЭС - район реализации 1	Гараж на 5 а/м	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 103" > ТП - 43 > РУ-0,4 кВ > ф. "Гаражи и ООО "ГЕМДР"
1052	210520002	МЭС - район реализации 1	Гараж-мастерская	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 103" > ТП - 43 > РУ-0,4 кВ > ф. "Гаражи и ООО "ГЕМДР"
1054	210540005	МЭС - район реализации 1	Комбинат	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –103» > ТП - 145 > РУ-0,4 кВ
1054	210540006	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > ф. "Портовая 9 п.2,3;4" > Портовая 9
1054	210540007	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Портовая 9	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > ф. "Портовая 9 п.2,3;4" > Портовая 9
1060	210600001	МЭС - район реализации 1	Магазин	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-7" > ТП - 7 > РУ-0,4 кВ
1062	210620003	МЭС - район реализации 1	кафе-шашлычная"Истамбул"	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 309 > РУ-0,4 кВ > ф. "Колымское ш 14-12 каб. 1" > Колымское шоссе 14
1064	210640001	МЭС - район реализации 1	Магазин "Зоосфера"	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-126" > ТП - 126 > РУ-0,4 кВ > ф. "Пролетарская 3 к.3" > Пролетарская 3 корп 2
1064	210640007	МЭС - район реализации 1	Нежилое помещение 	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 92" > ТП - 189 > РУ-0,4 кВ > ВЛ-0,4 кВ "Чубарова"
1064	210640008	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Пролетарская 3/2 м-н Зоосфера	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-126" > ТП - 126 > РУ-0,4 кВ > ф. "Пролетарская 3 к.3" > Пролетарская 3 корп 2
1064	210640011	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Билибина 5 подвальное помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Билибина 5" > Билибина 5
1068	210680001	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > ф. "Портовая 9 п.2,3;4" > Портовая 9
1068	210680002	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Портовая 9 Фотел	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > ф. "Портовая 9 п.2,3;4" > Портовая 9
107	201070001	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-7" > ТП - 213 > РУ-0,4 кВ > ф. "ВДПО Транспортная 16"
1071	210710004	МЭС - район реализации 1	Магазин	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Ленина 30" > Ленина 30
1071	210710005	МЭС - район реализации 1	э/э при СОИД 1 р-н Ленина 30	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Ленина 30" > Ленина 30
1072	202220004	МЭС - район реализации 1	Помещение пполиклиники	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 153, ТП - 111" > ТП - 153 > РУ-0,4 кВ > ф. "Новая 27Б" > Новая 27Б
1072	202220005	МЭС - район реализации 1	э/э при СОИД 1 р-н Новая 27-б	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 153, ТП - 111" > ТП - 153 > РУ-0,4 кВ > ф. "Новая 27Б" > Новая 27Б
